id,name,functionalexpertises_id,functionalexpertises_name
133,Project Management,3105,Real Estate & Insurance
134,Real Estate Structured Finance,3105,Real Estate & Insurance
135,Tax,3105,Real Estate & Insurance
247,Cook,3062,Restaurant / Hospitality
248,Baker,3062,Restaurant / Hospitality
249,Waiter / Waitress,3062,Restaurant / Hospitality
136,Account Management,3106,Sales & Marketing
137,Advertising,3106,Sales & Marketing
138,Brand / Product Manager,3106,Sales & Marketing
139,Business Development,3106,Sales & Marketing
140,Campaign Marketing,3106,Sales & Marketing
141,Channel Marketing,3106,Sales & Marketing
142,Consultant,3106,Sales & Marketing
143,Corporate Communications / PR,3106,Sales & Marketing
144,Direct Marketing,3106,Sales & Marketing
145,Event Manager,3106,Sales & Marketing
146,Market Research,3106,Sales & Marketing
147,Marketing Manager / Director,3106,Sales & Marketing
148,Medical Device / Diagnostics / Analytical,3106,Sales & Marketing
149,Online Marketing,3106,Sales & Marketing
150,Other,3106,Sales & Marketing
151,Pharmaceutical / CRO / Reagents / Personal Care,3106,Sales & Marketing
152,Product Manager,3106,Sales & Marketing
153,Sales Management,3106,Sales & Marketing
154,Sales Representative,3106,Sales & Marketing
155,Sales Support,3106,Sales & Marketing
156,Strategic Alliance Management,3106,Sales & Marketing
157,Strategic Planning,3106,Sales & Marketing
158,Trade Marketing,3106,Sales & Marketing
1,Brand Management,3106,Sales & Marketing
4,Marketing Operations,3106,Sales & Marketing
2,Product Marketing,3106,Sales & Marketing
3,Social Marketing,3106,Sales & Marketing
250,Sales Analytics,3063,Sales Operations
251,Licensing & Contract,3063,Sales Operations
252,Performance Management,3063,Sales Operations
253,Order Management,3063,Sales Operations
254,Lead Generation & Research,3063,Sales Operations
255,Technical Sales,3064,Sales Support
256,Planning & Forecast,3064,Sales Support
257,Sales Enablement,3064,Sales Support
258,Sales Finance,3064,Sales Support
159,Design Engineer / Programmer,3107,Semiconductor / Embedded Device
160,Field Application Engineering,3107,Semiconductor / Embedded Device
161,Quality Assurance / Quality Management,3107,Semiconductor / Embedded Device
162,Sales / Marketing,3107,Semiconductor / Embedded Device
163,Buyer / Merchandizing,3108,Supply Chain Management
164,Customer Service,3108,Supply Chain Management
165,Demand / Supply Planning,3108,Supply Chain Management
166,"Direct / In-direct Purchasing SEM)
 Procurement
",3108,Supply Chain Management
167,Distribution,3108,Supply Chain Management
168,Factory / Plant Management,3108,Supply Chain Management
169,Import / Export,3108,Supply Chain Management
170,Inventory Planning / Inventory Control,3108,Supply Chain Management
171,Logistics,3108,Supply Chain Management
172,OH&S / EH&S,3108,Supply Chain Management
173,Order Management,3108,Supply Chain Management
174,Production Control / Production Planning,3108,Supply Chain Management
175,Quality Control / Quality Assurance / SQE,3108,Supply Chain Management
176,SCM Consulting,3108,Supply Chain Management
177,Supply Chain Management,3108,Supply Chain Management
178,Warehouse Management,3108,Supply Chain Management
